La Calaka - Expense Report
Week: SEMANA 3   LUNES  20   ENERO    2026
Exported: 1/27/2026, 2:36:46 PM

COST BREAKDOWN
Category,Initial ($),Purchases ($),Final ($),Sales ($),Cost %

INVOICES/PURCHASES
Provider,Category,Quantity,Unit Price,Total
"Aceite Ajonjoli",undefined,0,undefined,NaN
"Aceite De Canola (16 litros)",undefined,32,undefined,NaN
"Aceite De REFILL (DAN + MIT miercoles / OAK jueves )",undefined,0,undefined,NaN
"Ajo En Polvo",undefined,0,undefined,NaN
"Ajo picado en Aceite (frasco 1.36kg)",undefined,0,undefined,NaN
"Ajonjoli Blanco (bote de 2 kilos)",undefined,0,undefined,NaN
"Ajonjoli Negro (bote de 2 kilos)",undefined,0,undefined,NaN
"Algas (paq.100 piezas)",undefined,1,undefined,NaN
"Arroz para Sushi",undefined,32,undefined,NaN
"Azucar Refinada",undefined,0,undefined,NaN
"Azucar Sobre",undefined,0,undefined,NaN
"Bicarbonato ( caja de .500 gr )",undefined,0,undefined,NaN
"Cacahuates Japones",undefined,0,undefined,NaN
"Café Americano 1.36 kg TIM HORTONS",undefined,0,undefined,NaN
"Café en Grano",undefined,0,undefined,NaN
"Cajeta Coronado",undefined,0,undefined,NaN
"Canela Molida",undefined,0,undefined,NaN
"Chamoy Preparado para Micheladas",undefined,0,undefined,NaN
"Chile Chiltepin(Bolsa de .250grs)",undefined,0,undefined,NaN
"Chile Chipotle Seco",undefined,0,undefined,NaN
"Chipotle en Lata (lata de 3 litros)",undefined,0,undefined,NaN
"Chocolate liquido para decorar ",undefined,0,undefined,NaN
"Clamato (1.89 litros) (4pz 1.89lt)",undefined,0,undefined,NaN
"Concentrado Pina Colada",undefined,3,undefined,NaN
"Consome de Camaron (cajita c/8 pzs)",undefined,0,undefined,NaN
"Consome de Pollo en Polvo",undefined,0,undefined,NaN
"Consome de Res (cajita c/6 cubitos)",undefined,0,undefined,NaN
"Dulces Latin Core",undefined,0,undefined,NaN
"Dulces MVR",undefined,0,undefined,NaN
"El Gallito Horchata",undefined,12,undefined,NaN
"El Gallito Jamaica .946ml",undefined,12,undefined,NaN
"El Gallito Tamarindo",undefined,0,undefined,NaN
"Frituras (viejitas) costal 15kg",undefined,0,undefined,NaN
"Frutiva 33,8 oz Tamarindo  ",undefined,0,undefined,NaN
"Frutiva 33,80 oz Jamaica ",undefined,0,undefined,NaN
"Frutiva 33,80 oz Mango",undefined,0,undefined,NaN
"Frutiva 33,8oz Horchata ",undefined,0,undefined,NaN
"GRANOLA 1,4 KG",undefined,0,undefined,NaN
"Harina  De Trigo p&h all purpose flour (20 KG)",undefined,0,undefined,NaN
"Harina para Hot cakes",undefined,0,undefined,NaN
"Hoja de Laurel Bote ",undefined,0,undefined,NaN
"Jarabe De Granadina 2 Litros roses grenadine",undefined,0,undefined,NaN
"Jugo De Arandano td cramberry 27%",undefined,0,undefined,NaN
"Jugo de Guava",undefined,0,undefined,NaN
"Jugo de Limon .946 ml monterrey lime juice",undefined,12,undefined,NaN
"Jugo de Mango",undefined,1,undefined,NaN
"Jugo de Maracuya rubicon passion fruit",undefined,0,undefined,NaN
"Jugo de Naranja",undefined,0,undefined,NaN
"Jugo De Piña",undefined,5,undefined,NaN
"Jugo De Toronja",undefined,0,undefined,NaN
"Jugo Maggi .800 ml",undefined,2,undefined,NaN
"Lata de Tomate entero Pelado (para salsa de tomate tacos asada)",undefined,0,undefined,NaN
"Leche Condensada (3pzas)",undefined,3,undefined,NaN
"Leche evaporada (6pzas)",undefined,0,undefined,NaN
"Maizena (20 kg)",undefined,0,undefined,NaN
"Maseca COSTAL de 33 libras ",undefined,0,undefined,NaN
"Mayonesa (15 Litros)",undefined,0,undefined,NaN
"Mayonesa (bote de 3.78 litros) (aderezo de cilantro)",undefined,3.78,undefined,NaN
"Miel ( bote de 3 kg)",undefined,0,undefined,NaN
"Mix nuts para sushi de mole",undefined,10,undefined,NaN
"Mostaza FRENCH'S .400ml",undefined,0,undefined,NaN
"PAN - SPRAY - DANFORTH",undefined,0,undefined,NaN
"Panko (kikko untoas) 11.3 kg",undefined,11.3,undefined,NaN
"Paprika (bote de 1,8 kilos)",undefined,0,undefined,NaN
"Pimienta Negra Molida",undefined,0,undefined,NaN
"Polvo para Hornear",undefined,0,undefined,NaN
"Rielito",undefined,0,undefined,NaN
"Sal De Ajo",undefined,0,undefined,NaN
"Sal fina Azul",undefined,2,undefined,NaN
"Sal Kosher",undefined,3,undefined,NaN
"Saladitas",undefined,504,undefined,NaN
"Salsa de Champiñon",undefined,0,undefined,NaN
"Salsa Guacamaya Chamoy 1 lt",undefined,5,undefined,NaN
"Salsa Guacamaya Original 1 lt",undefined,0,undefined,NaN
"Salsa Sriracha .730 ml",undefined,2,undefined,NaN
"Soya Preparada para Sushi (18.9 lts)",undefined,0,undefined,NaN
"Soya Kikkoman 18.9 litros ",undefined,0,undefined,NaN
"Splenda (caja de 1000)",undefined,0,undefined,NaN
"Tajin 908 gr ",undefined,0,undefined,NaN
"Tamaroca Banderilla",undefined,0,undefined,NaN
"Te de Manzanilla",undefined,0,undefined,NaN
"Te Verde",undefined,0,undefined,NaN
"Tempura Bolsa kikoman 2.27 kg",undefined,6,undefined,NaN
"Togarashi (bolsa de 300 gr)",undefined,0,undefined,NaN
"Tortilla de HARINA Hecha a Mano (paquete 12 piezas)",undefined,2,undefined,NaN
"Tortillas de Maiz Maizteca ( caja por 24 paquetes)",undefined,0,undefined,NaN
"Tostadas Matilda (caja $40.10)",undefined,32,undefined,NaN
"Totopos pre cut white",undefined,0,undefined,NaN
"Vainilla .474 ml ",undefined,0,undefined,NaN
"Vinagre de Arroz",undefined,0,undefined,NaN
"ARROZ PRE COCIDO 8 kg",undefined,0,undefined,NaN
"Vinagre blanco",undefined,0,undefined,NaN
"CHEETOS FLAMINGO ",undefined,0,undefined,NaN
"ELOTE EN LATA",undefined,24,undefined,NaN
"GRANO POZOLERO JUANITA ",undefined,0,undefined,NaN
"Bacardi Superior White Rum 750ml",undefined,0,undefined,NaN
"Bayleys",undefined,0,undefined,NaN
"Blue Curacao Mcguinness 750ml",undefined,0,undefined,NaN
"Bombay Bramble 750ml",undefined,0,undefined,NaN
"Bombay Sapphire London Dry 750ml",undefined,0,undefined,NaN
"Disaronno Amaretto 750ml",undefined,0,undefined,NaN
"Jager",undefined,0,undefined,NaN
"Johnnie Walker Red Label 750ml",undefined,0,undefined,NaN
"Kahlua Coffee Liquor 750ml",undefined,0,undefined,NaN
"Licor 43 750ml",undefined,0,undefined,NaN
"Licor de Menta",undefined,0,undefined,NaN
"Malibu Coconut Rum 750ml",undefined,0,undefined,NaN
"Martini Proseco",undefined,0,undefined,NaN
"McGuiness Peach",undefined,1,undefined,NaN
"Mezcal del Maguey Vida 750ml",undefined,1,undefined,NaN
"Mezcal vida PUEBLA  750ml",undefined,0,undefined,NaN
"Mezcal Verde 700ml",undefined,0,undefined,NaN
"Rompope",undefined,0,undefined,NaN
"Smirnoff Vodka 750ml",undefined,1,undefined,NaN
"Tequila 1800 Reposado 750ml",undefined,0,undefined,NaN
"Tequila 1800 White  750ml",undefined,0,undefined,NaN
"Tequila 1800 Coco-NUT",undefined,0,undefined,NaN
"Tequila Casamigos Anejo 750ml",undefined,0,undefined,NaN
"Tequila Casamigos Blanco 750ml",undefined,0,undefined,NaN
"Tequila Don Julio 70th 750ml",undefined,0,undefined,NaN
"Tequila Don Julio Blanco 750ml",undefined,0,undefined,NaN
"Tequila Don Julio Reposado 750ml",undefined,0,undefined,NaN
"Tequila Herradura Reposado 750ml",undefined,0,undefined,NaN
"Tequila Herradura Silver 750ml",undefined,0,undefined,NaN
"Tequila Jose Cuervo Especial",undefined,0,undefined,NaN
"Tequila Jose Cuervo Reposado  Tradicional 750ml",undefined,4,undefined,NaN
"Tequila Patron Anejo 750ml",undefined,0,undefined,NaN
"Tequila Patron Silver 750ml",undefined,0,undefined,NaN
"Tequila Siempre Añejo 750ml",undefined,0,undefined,NaN
"Tequila Siempre Plata 750ml",undefined,1,undefined,NaN
"Tequila Siempre Reposado 750ml",undefined,0,undefined,NaN
"Tequila Spolon",undefined,0,undefined,NaN
"Tequila Tromba Reposado 750ml",undefined,0,undefined,NaN
"The Famous Grouse Whisky 750ml",undefined,0,undefined,NaN
